"GroupId","ArtifactId","Version"
"com.sun.activation","jakarta.activation","2.0.1, 2.0.0"
"com.sun.mail","jakarta.mail","2.0.1"
"jakarta.activation","jakarta.activation-api","2.0.1"
"jakarta.annotation","jakarta.annotation-api","2.0.0, 1.3.5"
"jakarta.authentication","jakarta.authentication-api","2.0.0"
"jakarta.authorization","jakarta.authorization-api","2.0.0"
"jakarta.batch","jakarta.batch-api","2.0.0"
"jakarta.ejb","jakarta.ejb-api","4.0.0-RC2, 4.0.0"
"jakarta.el","jakarta.el-api","4.0.0-RC1, 4.0.0"
"jakarta.enterprise","jakarta.enterprise.cdi-api","3.0.0-M1, 3.0.0"
"jakarta.enterprise.concurrent","jakarta.enterprise.concurrent-api","2.0.0"
"jakarta.faces","jakarta.faces-api","3.0.0"
"jakarta.inject","jakarta.inject-api","2.0.0-RC2, 2.0.0"
"jakarta.interceptor","jakarta.interceptor-api","2.0.0-RC1, 2.0.0"
"jakarta.jms","jakarta.jms-api","3.0.0"
"jakarta.json","jakarta.json-api","2.0.1, 2.0.0"
"jakarta.json.bind","jakarta.json.bind-api","2.0.0"
"jakarta.jws","jakarta.jws-api","3.0.0"
"jakarta.mail","jakarta.mail-api","2.0.1"
"jakarta.persistence","jakarta.persistence-api","3.0.0"
"jakarta.platform","jakarta.jakartaee-web-api","9.1.0"
"jakarta.resource","jakarta.resource-api","2.0.0"
"jakarta.security.enterprise","jakarta.security.enterprise-api","2.0.0"
"jakarta.servlet","jakarta.servlet-api","5.0.0"
"jakarta.servlet.jsp","jakarta.servlet.jsp-api","3.0.0"
"jakarta.servlet.jsp.jstl","jakarta.servlet.jsp.jstl-api","2.0.0"
"jakarta.transaction","jakarta.transaction-api","2.0.0-RC1, 2.0.0-RC2, 2.0.0-RC3, 2.0.0"
"jakarta.validation","jakarta.validation-api","3.0.0"
"jakarta.websocket","jakarta.websocket-api","2.0.0"
"jakarta.ws.rs","jakarta.ws.rs-api","3.0.0"
"jakarta.xml.bind","jakarta.xml.bind-api","3.0.1, 3.0.0"
"jakarta.xml.soap","jakarta.xml.soap-api","2.0.1, 2.0.0"
"jakarta.xml.ws","jakarta.xml.ws-api","3.0.1, 3.0.0"
"junit","junit","4.13.2, 4.12, 4.13"
"org.glassfish","jakarta.faces","3.0.0-RC5, 3.0.0"
"org.testng","testng","6.8.8, 6.11"
